,Tweet Text,Remove user,Remove url,Remove RT,Remove pun,Remove stop
0,"RT @TimesNow: #LIVE | BJP MP @Tejasvi_Surya slams the 'Tukde' gang in the Lok Sabha.
'There is nothing anti-Muslim about CAA', says Tejasvi…","RT  #LIVE | BJP MP  slams the 'Tukde' gang in the Lok Sabha.
'There is nothing anti-Muslim about CAA', says Tejasvi…","RT  #LIVE | BJP MP  slams the 'Tukde' gang in the Lok Sabha.
'There is nothing anti-Muslim about CAA', says Tejasvi…","  #LIVE | BJP MP  slams the 'ukde' gang in the Lok Sabha.
'here is nothing anti-Muslim about CAA', says ejasvi…","  LIVE  BJP MP  slams the ukde gang in the Lok Sabha
here is nothing antiMuslim about CAA says ejasvi…","['LIVE', 'BJP', 'MP', 'slams', 'ukde', 'gang', 'Lok', 'Sabha', 'nothing', 'antiMuslim', 'CAA', 'says', 'ejasvi…']"
1,"RT @Shehzad_Ind: Must say @BJP4India has managed to get two of the most suave, articulate, grounded &amp; politically sharp satraps on its side…","RT  Must say  has managed to get two of the most suave, articulate, grounded &amp; politically sharp satraps on its side…","RT  Must say  has managed to get two of the most suave, articulate, grounded &amp; politically sharp satraps on its side…","  Must say  has managed to get two of the most suave, articulate, grounded &amp; politically sharp satraps on its side…",  Must say  has managed to get two of the most suave articulate grounded amp politically sharp satraps on its side…,"['Must', 'say', 'managed', 'get', 'two', 'suave', 'articulate', 'grounded', 'amp', 'politically', 'sharp', 'satraps', 'side…']"
2,"RT @SuryahSG: Who is L. Murugan, the new BJP Tamil Nadu President? https://t.co/SuwxsTLhsc","RT  Who is L. Murugan, the new BJP Tamil Nadu President? https://t.co/SuwxsTLhsc","RT  Who is L. Murugan, the new BJP Tamil Nadu President? ","  Who is L. Murugan, the new BJP amil Nadu President? ",  Who is L Murugan the new BJP amil Nadu President ,"['Who', 'L', 'Murugan', 'new', 'BJP', 'amil', 'Nadu', 'President']"
3,It's not about Congress or BJP..It's about @JM_Scindia ..He opted for greed instead of ideology and patience..BJP i… https://t.co/2RoAzCJr2v,It's not about Congress or BJP..It's about  ..He opted for greed instead of ideology and patience..BJP i… https://t.co/2RoAzCJr2v,It's not about Congress or BJP..It's about  ..He opted for greed instead of ideology and patience..BJP i… ,It's not about Congress or BJP..It's about  ..He opted for greed instead of ideology and patience..BJP i… ,Its not about Congress or BJPIts about  He opted for greed instead of ideology and patienceBJP i… ,"['Its', 'Congress', 'BJPIts', 'He', 'opted', 'greed', 'instead', 'ideology', 'patienceBJP', 'i…']"
4,"RT @gops33: Eight months ago, Jyotiraditya Scindia said: ‘BJP tries to grab power through back door’ 
The Indian Express
#JyotiradityaScind…","RT  Eight months ago, Jyotiraditya Scindia said: ‘BJP tries to grab power through back door’ 
The Indian Express
#JyotiradityaScind…","RT  Eight months ago, Jyotiraditya Scindia said: ‘BJP tries to grab power through back door’ 
The Indian Express
#JyotiradityaScind…","  Eight months ago, Jyotiraditya Scindia said: ‘BJP tries to grab power through back door’ 
he Indian Express
#JyotiradityaScind…","  Eight months ago Jyotiraditya Scindia said ‘BJP tries to grab power through back door’ 
he Indian Express
JyotiradityaScind…","['Eight', 'months', 'ago', 'Jyotiraditya', 'Scindia', 'said', '‘BJP', 'tries', 'grab', 'power', 'back', 'door’', 'Indian', 'Express', 'JyotiradityaScind…']"
5,"RT @INCIndia: The govt should provide relief to the people by bringing petrol &amp; diesel under GST, reducing fuel prices &amp; immediately withdr…","RT  The govt should provide relief to the people by bringing petrol &amp; diesel under GST, reducing fuel prices &amp; immediately withdr…","RT  The govt should provide relief to the people by bringing petrol &amp; diesel under GST, reducing fuel prices &amp; immediately withdr…","  he govt should provide relief to the people by bringing petrol &amp; diesel under GS, reducing fuel prices &amp; immediately withdr…",  he govt should provide relief to the people by bringing petrol amp diesel under GS reducing fuel prices amp immediately withdr…,"['govt', 'provide', 'relief', 'people', 'bringing', 'petrol', 'amp', 'diesel', 'GS', 'reducing', 'fuel', 'prices', 'amp', 'immediately', 'withdr…']"
6,RT @smitaprakash: Meenakshi Lekhi BJP replying to Adhir Ranjan Chowdhury in LS- “If you are going to allege that Mussolini was Hedgewar’s i…,RT  Meenakshi Lekhi BJP replying to Adhir Ranjan Chowdhury in LS- “If you are going to allege that Mussolini was Hedgewar’s i…,RT  Meenakshi Lekhi BJP replying to Adhir Ranjan Chowdhury in LS- “If you are going to allege that Mussolini was Hedgewar’s i…,  Meenakshi Lekhi BJP replying to Adhir anjan Chowdhury in LS- “If you are going to allege that Mussolini was Hedgewar’s i…,  Meenakshi Lekhi BJP replying to Adhir anjan Chowdhury in LS “If you are going to allege that Mussolini was Hedgewar’s i…,"['Meenakshi', 'Lekhi', 'BJP', 'replying', 'Adhir', 'anjan', 'Chowdhury', 'LS', '“If', 'going', 'allege', 'Mussolini', 'Hedgewar’s', 'i…']"
7,"RT @go4avinash: #Petrol Rates BJP States

Uttar Pradesh : Rs. 72.44/lit
Karnataka : Rs. 72.34/lit
Gujarat : Rs. 67.74/lit

#Petrol Rates No…","RT  #Petrol Rates BJP States

Uttar Pradesh : Rs. 72.44/lit
Karnataka : Rs. 72.34/lit
Gujarat : Rs. 67.74/lit

#Petrol Rates No…","RT  #Petrol Rates BJP States

Uttar Pradesh : Rs. 72.44/lit
Karnataka : Rs. 72.34/lit
Gujarat : Rs. 67.74/lit

#Petrol Rates No…","  #Petrol ates BJP States

Uttar Pradesh : s. ./lit
Karnataka : s. ./lit
Gujarat : s. ./lit

#Petrol ates No…","  Petrol ates BJP States

Uttar Pradesh  s lit
Karnataka  s lit
Gujarat  s lit

Petrol ates No…","['Petrol', 'ates', 'BJP', 'States', 'Uttar', 'Pradesh', 'lit', 'Karnataka', 'lit', 'Gujarat', 'lit', 'Petrol', 'ates', 'No…']"
8,RT @manakgupta: Confirmed - BJP sending Jyotiraditya Scindia to Rajya Sabha. Will soon be #MPScindia @news24tvchannel https://t.co/MHJZRaUc…,RT  Confirmed - BJP sending Jyotiraditya Scindia to Rajya Sabha. Will soon be #MPScindia  https://t.co/MHJZRaUc…,RT  Confirmed - BJP sending Jyotiraditya Scindia to Rajya Sabha. Will soon be #MPScindia  ,  Confirmed - BJP sending Jyotiraditya Scindia to ajya Sabha. Will soon be #MPScindia  ,  Confirmed  BJP sending Jyotiraditya Scindia to ajya Sabha Will soon be MPScindia  ,"['Confirmed', 'BJP', 'sending', 'Jyotiraditya', 'Scindia', 'ajya', 'Sabha', 'Will', 'soon', 'MPScindia']"
9,"RT @TimesNow: #LIVE | BJP MP @Tejasvi_Surya slams the 'Tukde' gang in the Lok Sabha.
'There is nothing anti-Muslim about CAA', says Tejasvi…","RT  #LIVE | BJP MP  slams the 'Tukde' gang in the Lok Sabha.
'There is nothing anti-Muslim about CAA', says Tejasvi…","RT  #LIVE | BJP MP  slams the 'Tukde' gang in the Lok Sabha.
'There is nothing anti-Muslim about CAA', says Tejasvi…","  #LIVE | BJP MP  slams the 'ukde' gang in the Lok Sabha.
'here is nothing anti-Muslim about CAA', says ejasvi…","  LIVE  BJP MP  slams the ukde gang in the Lok Sabha
here is nothing antiMuslim about CAA says ejasvi…","['LIVE', 'BJP', 'MP', 'slams', 'ukde', 'gang', 'Lok', 'Sabha', 'nothing', 'antiMuslim', 'CAA', 'says', 'ejasvi…']"
10,"@JM_Scindia Today India seen how politicians change for own benefit. 

The man who was talking against @BJP4India… https://t.co/qKTxLNYIhc"," Today India seen how politicians change for own benefit. 

The man who was talking against  https://t.co/qKTxLNYIhc"," Today India seen how politicians change for own benefit. 

The man who was talking against  "," oday India seen how politicians change for own benefit. 

he man who was talking against  "," oday India seen how politicians change for own benefit 

he man who was talking against  ","['oday', 'India', 'seen', 'politicians', 'change', 'benefit', 'man', 'talking']"
11,"RT @Kashif43188941: #StopDemographicZehad

U can understand the reality of bjp it cell https://t.co/ocOxxG8TAQ","RT  #StopDemographicZehad

U can understand the reality of bjp it cell https://t.co/ocOxxG8TAQ","RT  #StopDemographicZehad

U can understand the reality of bjp it cell ","  #StopDemographicZehad

U can understand the reality of bjp it cell ","  StopDemographicZehad

U can understand the reality of bjp it cell ","['StopDemographicZehad', 'U', 'understand', 'reality', 'bjp', 'cell']"
12,RT @INCIndia: International crude oil prices have seen a sharp fall but the real benefit of the same is not being passed on to the people.…,RT  International crude oil prices have seen a sharp fall but the real benefit of the same is not being passed on to the people.…,RT  International crude oil prices have seen a sharp fall but the real benefit of the same is not being passed on to the people.…,  International crude oil prices have seen a sharp fall but the real benefit of the same is not being passed on to the people.…,  International crude oil prices have seen a sharp fall but the real benefit of the same is not being passed on to the people…,"['International', 'crude', 'oil', 'prices', 'seen', 'sharp', 'fall', 'real', 'benefit', 'passed', 'people…']"
